iter	Passed	Remaining
826	137311	23909
827	137493	23745
828	137672	23582
829	137822	23413
830	137970	23244
831	138104	23072
832	138233	22900
833	138389	22733
834	138641	22581
835	138836	22419
836	138995	22252
837	139159	22086
838	139330	21920
839	139479	21752
840	139633	21584
841	139911	21435
842	140095	21271
843	140271	21107
844	140420	20938
845	140577	20770
846	140709	20599
847	140846	20429
848	141034	20266
849	141238	20105
850	141425	19942
851	141575	19774
852	141735	19607
853	141895	19440
854	142018	19268
855	142162	19098
856	142304	18929
857	142451	18761
858	142588	18591
859	142710	18419
860	142847	18249
861	142983	18080
862	143110	17909
863	143249	17740
864	143377	17569
865	143512	17400
866	143640	17230
867	143770	17060
868	143991	16901
869	144191	16739
870	144360	16574
871	144510	16406
872	144661	16239
873	144805	16071
874	144932	15901
875	145064	15731
876	145256	15569
877	145483	15409
878	145681	15247
879	145858	15083
880	146018	14916
881	146201	14752
882	146356	14585
883	146583	14426
884	146830	14268
885	147009	14103
886	147162	13936
887	147335	13771
888	147503	13605
889	147650	13437
890	147797	13270
891	147959	13104
892	148097	12935
893	148248	12768
894	148404	12601
895	148537	12433
896	148671	12264
897	148817	12097
898	148947	11929
899	149077	11760
900	149208	11592
901	149363	11425
902	149508	11258
903	149635	11090
904	149762	10921
905	149884	10753
906	150004	10584
907	150129	10416
908	150252	10248
909	150390	10081
910	150518	9913
911	150670	9747
912	150889	9585
913	151062	9420
914	151229	9255
915	151387	9089
916	151557	8924
917	151688	8757
918	151814	8590
919	152005	8426
920	152208	8263
921	152379	8098
922	152548	7933
923	152696	7767
924	152854	7601
925	152987	7434
926	153119	7267
927	153324	7104
928	153518	6940
929	153700	6776
930	153864	6610
931	154019	6445
932	154160	6278
933	154298	6112
934	154431	5946
935	154561	5779
936	154692	5613
937	154885	5449
938	155095	5285
939	155255	5120
940	155408	4954
941	155568	4789
942	155753	4624
943	155885	4458
944	156042	4293
945	156318	4131
946	156516	3966
947	156720	3802
948	156877	3636
949	157040	3471
950	157177	3305
951	157310	3139
952	157536	2975
953	157708	2810
954	157881	2645
955	158055	2479
956	158233	2314
957	158390	2149
958	158526	1983
959	158739	1818
960	158975	1654
961	159171	1489
962	159336	1323
963	159576	1158
964	159766	993
965	159904	827
966	160050	662
967	160210	496
968	160335	330
969	160559	165
970	160697	0
